Benchmark,Result
q01.benchmark,0.691459
q02.benchmark,2.110273
q03.benchmark,4.075513
q04.benchmark,3.072829
q05.benchmark,3.653216
q06.benchmark,4.823033
q07.benchmark,2.139546
q08.benchmark,2.123883
q09.benchmark,5.663417
q10.benchmark,9.770203
q11.benchmark,5.441948
q12.benchmark,7.341738
q13.benchmark,4.693644
q14.benchmark,7.845305
q15.benchmark,6.668471
q16.benchmark,3.740659
q17.benchmark,8.580827
q18.benchmark,8.672968
q20.benchmark,2.168367
q21.benchmark,6.568108
q22.benchmark,10.119373
q23.benchmark,19.169351
q24.benchmark,235.276965
q25.benchmark,6.966851
q26.benchmark,4.082755
q27.benchmark,6.950495
q28.benchmark,8.416681
q29.benchmark,12.345775
q30.benchmark,3.033704
q31.benchmark,12.178297
q32.benchmark,13.410539
q33.benchmark,13.214057
q34.benchmark,8.96011
q35.benchmark,8.933985
q36.benchmark,2.90323
q37.benchmark,0.732535
q38.benchmark,0.67989
q39.benchmark,0.661565
q40.benchmark,0.641977
q41.benchmark,0.629999
q42.benchmark,0.688063
