Benchmark,Result
q01.benchmark,14.170343
q02.benchmark,18.235225
q03.benchmark,17.918017
q04.benchmark,18.590176
q05.benchmark,18.085582
q06.benchmark,21.398551
q07.benchmark,14.662313
q08.benchmark,18.452269
q09.benchmark,25.964728
q10.benchmark,23.207817
q12.benchmark,29.326574
q14.benchmark,26.034131
q15.benchmark,25.995267
q16.benchmark,21.036475
q17.benchmark,23.881076
q18.benchmark,19.610187
q20.benchmark,1.892908
q21.benchmark,18.713718
q22.benchmark,20.040169
q24.benchmark,35.990437
q25.benchmark,17.327961
q26.benchmark,18.674748
q27.benchmark,18.2733
q28.benchmark,21.131392
q29.benchmark,32.309784
q30.benchmark,16.285378
q31.benchmark,24.287072
q32.benchmark,23.296018
q33.benchmark,24.719883
q34.benchmark,26.134639
q35.benchmark,24.139121
q36.benchmark,20.501649
q37.benchmark,21.182907
q38.benchmark,19.607548
q39.benchmark,20.993701
q41.benchmark,29.706234
q42.benchmark,20.672568
q43.benchmark,20.375316
