Benchmark,Result
q01.benchmark,0.005139
q02.benchmark,0.019174
q03.benchmark,0.033524
q04.benchmark,0.019472
q05.benchmark,0.048942
q06.benchmark,0.108929
q07.benchmark,0.018916
q08.benchmark,0.019901
q09.benchmark,0.04091
q10.benchmark,0.074094
q11.benchmark,0.038067
q12.benchmark,0.053712
q13.benchmark,0.055408
q14.benchmark,0.162551
q15.benchmark,0.148077
q16.benchmark,0.025286
q17.benchmark,0.156966
q18.benchmark,0.080249
q19.benchmark,0.147242
q20.benchmark,0.01966
q21.benchmark,0.084218
q22.benchmark,0.129976
q23.benchmark,0.278642
q24.benchmark,1.892225
q25.benchmark,0.063708
q26.benchmark,0.049472
q27.benchmark,0.062378
q28.benchmark,0.129861
q29.benchmark,0.373106
q30.benchmark,0.079334
q31.benchmark,0.141225
q32.benchmark,0.124989
q33.benchmark,0.088813
q34.benchmark,0.090244
q35.benchmark,0.092305
q36.benchmark,0.056358
q37.benchmark,0.18801
q38.benchmark,0.211067
q39.benchmark,0.156683
q40.benchmark,0.271868
q41.benchmark,0.09226
q42.benchmark,0.10572
q43.benchmark,0.079355
