Benchmark,Result
q01.benchmark,15.757249
q02.benchmark,17.88019
q03.benchmark,17.803563
q04.benchmark,18.881646
q05.benchmark,19.278091
q06.benchmark,25.791202
q07.benchmark,17.348792
q08.benchmark,13.90056
q09.benchmark,24.698815
q10.benchmark,18.513604
q11.benchmark,21.241715
q12.benchmark,22.487947
q13.benchmark,21.529094
q14.benchmark,24.010304
q15.benchmark,17.388465
q16.benchmark,17.736482
q17.benchmark,24.737086
q18.benchmark,19.782378
q20.benchmark,1.860769
q21.benchmark,19.385729
q22.benchmark,20.277437
q24.benchmark,34.585307
q25.benchmark,14.936159
q26.benchmark,19.068776
q27.benchmark,19.986898
q28.benchmark,20.763615
q29.benchmark,28.146574
q30.benchmark,14.654793
q31.benchmark,23.073658
q32.benchmark,22.842035
q33.benchmark,25.913948
q34.benchmark,24.281734
q35.benchmark,20.988711
q36.benchmark,23.113085
q37.benchmark,19.954513
q38.benchmark,21.038312
q39.benchmark,19.999905
q41.benchmark,21.787307
q42.benchmark,19.86512
q43.benchmark,19.52756
