基准测试,运行1时间(s),运行2时间(s)
q01.benchmark,10.857089,8.663359
q02.benchmark,10.108049,11.0025
q03.benchmark,9.748754,8.61813
q04.benchmark,9.656689,8.195546
q05.benchmark,12.932583,9.762595
q06.benchmark,16.104243,16.899872
q07.benchmark,10.607191,9.244094
q08.benchmark,10.658306,9.998812
q09.benchmark,20.284643,19.40803
q10.benchmark,21.725097,23.343475
q11.benchmark,11.63739,10.156999
q12.benchmark,14.188163,11.013176
q13.benchmark,16.169114,16.534223
q14.benchmark,17.420313,19.483231
q15.benchmark,18.032115,20.303722
q16.benchmark,11.176863,10.083203
q17.benchmark,18.52442,25.228373
q18.benchmark,22.454989,24.44547
q19.benchmark,28.309607,46.393617
q20.benchmark,47.935395,39.055504
q21.benchmark,13.215374,10.954276
q22.benchmark,16.407418,15.025946
q23.benchmark,15.694893,13.58449
q24.benchmark,99.23,
q25.benchmark,12.072065,11.790868
q26.benchmark,11.104628,9.73385
q27.benchmark,10.937917,9.422097
q28.benchmark,13.223408,13.101511
q29.benchmark,93.64,103.86
q30.benchmark,8.651959,6.126088
q31.benchmark,14.344111,17.28983
q32.benchmark,18.339756,20.762325
q33.benchmark,48.228582,64.819234
q34.benchmark,33.609459,47.834219
q35.benchmark,34.052621,46.116522
q36.benchmark,21.919392,22.051715
q37.benchmark,13.21605,10.642212
q38.benchmark,13.46057,10.923967
q39.benchmark,13.671733,11.598111
q40.benchmark,17.421832,15.29518
q41.benchmark,10.44098,9.055398
q42.benchmark,11.918534,10.463748
q43.benchmark,10.287251,9.263507
