基准测试,运行1时间(s)
q01.benchmark,9.960111
q02.benchmark,9.972535
q03.benchmark,11.144014
q04.benchmark,8.934958
q05.benchmark,12.652611
q06.benchmark,18.552889
q07.benchmark,10.257991
q08.benchmark,9.810876
q09.benchmark,19.290831
q10.benchmark,21.360243
q11.benchmark,12.649589
q12.benchmark,13.794907
q13.benchmark,18.888252
q14.benchmark,19.255475
q15.benchmark,19.139204
q16.benchmark,11.486169
q17.benchmark,20.913438
q18.benchmark,25.072152
q19.benchmark,33.801798
q20.benchmark,32.860525
q21.benchmark,15.045354
q22.benchmark,13.899289
q23.benchmark,17.618443
q24.benchmark,106.777443
q25.benchmark,11.600403
q26.benchmark,10.809833
q27.benchmark,11.979763
q28.benchmark,13.756713
q29.benchmark,148.865063
q30.benchmark,9.891047
q31.benchmark,16.881571
q32.benchmark,19.141262
q33.benchmark,50.366383
q34.benchmark,36.172594
q35.benchmark,32.697396
q36.benchmark,20.23665
q37.benchmark,14.141651
q38.benchmark,15.836678
q39.benchmark,14.522101
q40.benchmark,18.172415
q41.benchmark,11.7471
q42.benchmark,13.362848
q43.benchmark,12.260929
