基准测试,运行1时间(s)
q01.benchmark,7.852805
q02.benchmark,8.056973
q03.benchmark,8.42737
q04.benchmark,8.142538
q05.benchmark,8.912361
q06.benchmark,12.988397
q07.benchmark,7.358807
q08.benchmark,7.129896
q09.benchmark,13.644677
q10.benchmark,15.620047
q11.benchmark,9.889439
q12.benchmark,8.880246
q13.benchmark,11.381375
q14.benchmark,15.137141
q15.benchmark,12.519452
q16.benchmark,9.754749
q17.benchmark,13.819838
q18.benchmark,14.804112
q19.benchmark,23.974969
q20.benchmark,31.479802
q21.benchmark,14.282062
q22.benchmark,15.192575
q23.benchmark,16.515804
q24.benchmark,103.895648
q25.benchmark,17.252769
q26.benchmark,8.13275
q27.benchmark,9.600408
q28.benchmark,15.778551
q29.benchmark,132.772617
q30.benchmark,10.111426
q31.benchmark,12.721485
q32.benchmark,14.116281
q33.benchmark,47.025313
q34.benchmark,34.308253
q35.benchmark,31.836802
q36.benchmark,13.61468
q37.benchmark,13.983056
q38.benchmark,12.801865
q39.benchmark,12.660945
q40.benchmark,16.978885
q41.benchmark,9.500931
q42.benchmark,10.057429
q43.benchmark,8.213721
