基准测试,运行1时间(s),运行2时间(s)
q01.benchmark,10.609366,7.103682
q02.benchmark,9.341101,7.010036
q03.benchmark,9.771302,7.221
q04.benchmark,7.00964,4.127526
q05.benchmark,12.487794,9.607405
q06.benchmark,15.129936,13.609044
q07.benchmark,13.235259,9.664351
q08.benchmark,11.86893,8.68719
q09.benchmark,15.959701,14.218944
q10.benchmark,14.765543,12.534628
q11.benchmark,13.183948,10.618427
q12.benchmark,13.12232,10.19688
q13.benchmark,15.813632,15.569104
q14.benchmark,18.101884,18.630187
q15.benchmark,15.687634,13.984801
q16.benchmark,13.069931,9.653705
q17.benchmark,18.211465,22.227771
q18.benchmark,19.633871,21.106532
q19.benchmark,29.950502,42.228594
q20.benchmark,31.977904,34.67877
q25.benchmark,12.563817,9.720498
q26.benchmark,11.10764,8.039424
q27.benchmark,14.278821,10.738971
q30.benchmark,13.422669,9.894111
q31.benchmark,15.987175,17.039924
q32.benchmark,17.505213,18.338463
q33.benchmark,47.386751,60.108655
q36.benchmark,15.291168,14.707605
q41.benchmark,13.444679,10.446433
q42.benchmark,14.091739,10.979192
q43.benchmark,13.921057,10.301261
