Benchmark,Result
q01.benchmark,79.479155
q02.benchmark,20.13705
q03.benchmark,40.318304
q04.benchmark,76.186179
q05.benchmark,12.258766
q06.benchmark,2.174712
q07.benchmark,40.480543
q08.benchmark,18.042712
q09.benchmark,33.888041
q10.benchmark,28.835746
q11.benchmark,2.807602
q12.benchmark,46.279746
q13.benchmark,57.250239
q14.benchmark,4.888276
q15.benchmark,10.873819
q16.benchmark,7.141672
q17.benchmark,76.10299
q18.benchmark,75.860558
q19.benchmark,71.752646
q20.benchmark,21.541515
q21.benchmark,114.831205
q22.benchmark,13.799125
