Benchmark,Result
q01.benchmark,16.127353
q02.benchmark,6.618494
q03.benchmark,12.746039
q04.benchmark,12.567599
q05.benchmark,10.223331
q06.benchmark,3.724037
q07.benchmark,15.178859
q08.benchmark,12.751478
q09.benchmark,67.909836
q10.benchmark,17.586024
q11.benchmark,3.658335
q12.benchmark,11.410443
q13.benchmark,30.179491
q14.benchmark,12.400591
q15.benchmark,8.745641
q16.benchmark,12.06087
q17.benchmark,8.028974
q18.benchmark,39.691082
q19.benchmark,18.363552
q20.benchmark,8.266075
q21.benchmark,88.328067
q22.benchmark,6.929273
