Benchmark,Result
q01.benchmark,35.659764
q02.benchmark,15.420196
q03.benchmark,31.683348
q04.benchmark,55.476318
q05.benchmark,27.48922
q06.benchmark,17.938467
q07.benchmark,65.725192
q08.benchmark,28.754472
q09.benchmark,65.390781
q10.benchmark,46.898377
q11.benchmark,10.87138
q12.benchmark,49.680572
q13.benchmark,26.498277
q14.benchmark,20.720362
q15.benchmark,47.413449
q16.benchmark,10.133944
q17.benchmark,96.465841
q18.benchmark,93.793787
q19.benchmark,46.852223
q20.benchmark,44.137631
q21.benchmark,135.384742
q22.benchmark,16.207622
