Benchmark,Result
q01.benchmark,45.13095
q02.benchmark,15.251211
q03.benchmark,36.46049
q04.benchmark,49.552394
q05.benchmark,38.540716
q06.benchmark,23.256097
q07.benchmark,59.605318
q08.benchmark,40.391105
q09.benchmark,73.501903
q10.benchmark,48.290594
q11.benchmark,12.43073
q12.benchmark,52.21552
q13.benchmark,28.736671
q14.benchmark,27.647937
q15.benchmark,60.377491
q16.benchmark,9.58614
q17.benchmark,85.883617
q18.benchmark,88.865339
q19.benchmark,29.162145
q20.benchmark,43.628852
q21.benchmark,126.851775
q22.benchmark,15.094513
